index_code,expected_period,effective_date,symbol,universe_mode,qualification_scope
931152,2022-12,2022-12-12,002007,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002019,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002020,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002038,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002317,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002399,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002422,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002653,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002675,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002773,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002793,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,002821,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300003,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300009,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300122,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300142,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300149,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300199,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300238,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300347,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300357,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300363,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300404,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300558,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300601,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300725,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,300759,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600079,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600196,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600216,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600267,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600276,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600380,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600535,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600673,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600812,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,600867,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,601607,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,603127,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,603259,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,603456,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,603858,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688180,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688185,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688266,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688321,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688366,point_in_time,historical_design_research_input_only
931152,2022-12,2022-12-12,688520,point_in_time,historical_design_research_input_only
931152,2023-06,2023-06-12,000513,point_in_time,historical_design_research_input_only
931152,2023-06,2023-06-12,000661,point_in_time,historical_design_research_input_only
931152,2023-06,2023-06-12,000963,point_in_time,historical_design_research_input_only
931152,2023-06,2023-06-12,002007,point_in_time,historical_design_research_input_only
931152,2023-06,2023-06-12,002019,point_in_time,historical_design_research_input_only
