symbol,effective_start,effective_end,source_index,universe_mode,source_scope,source_identity,source_artifact_id,source_artifact_sha256,source_member_file_sha256,source_reference
601607,2021-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
603229,2021-06-15,2023-12-10,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688177,2021-06-15,2022-06-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688202,2021-06-15,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688222,2021-06-15,2022-12-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688266,2021-06-15,2023-06-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688180,2021-12-13,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688185,2021-12-13,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688505,2021-12-13,2022-06-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688520,2021-12-13,2022-12-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
